"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"EL652","18203.8623809317","149.551273686805","1.0","7.1","16.1","-8.0","-9.0"
"BG331","12309.2835624984","103.64028079582","6.1","9.2","16.1","-0.8","-6.9"
"PL225","16755.9587434665","58.7121740235035","0.6","8.2","12.0","-3.1","-3.7"
"DE946","38950.5435856889","51.7888910851947","2.9","9.0","12.6","-0.7","-3.6"
"PL722","11560.0742222767","164.232665967997","-2.1","6.9","14.2","-9.5","-7.3"
"PL622","14093.7712041682","93.6938583939502","-1.1","7.4","12.0","-5.7","-4.6"
"DE94B","40568.6913395136","42.9636250919104","35.7","9.5","11.5","33.7","-2.1"
"RO123","10020.4590019609","100.594261475049","3.5","9.9","14.0","-0.6","-4.1"
"FRI34","31658.2628200452","44.9066306805748","2.6","9.1","11.3","0.5","-2.1"
"AT334","51421.7678734781","80.1606986240652","10.8","10.7","9.0","12.5","1.7"
"DEF0E","34646.1025809558","49.9071406189097","13.5","7.9","14.8","6.6","-6.9"
"DE94H","31919.589243756","52.3888260377687","-18.5","7.9","15.9","-26.5","-8.0"
"DE21E","42260.3032947491","55.2417960581562","-13.5","8.7","10.2","-15.0","-1.5"
"DE217","34331.3240998656","49.7912498632992","-27.7","9.6","10.7","-28.8","-1.0"
"DE131","60584.6502881198","53.6989751906421","12.3","10.0","8.8","13.5","1.2"
"DE40B","32230.3315420517","43.2324885178229","25.7","6.2","17.8","14.2","-11.6"
"DE221","65628.981544771","52.2214627477785","-59.9","10.3","12.5","-62.1","-2.2"
"BE253","42791.837495341","98.7700335445397","9.4","9.4","11.3","7.5","-1.9"
"DEA13","51237.9364619144","39.8666280081183","-8.2","9.8","14.1","-12.5","-4.3"
"PL821","10339.2651418215","69.6699103398343","-2.1","7.9","11.9","-6.0","-4.0"
"EL621","19330.3864182838","331.285065455517","-6.9","9.9","13.2","-10.2","-3.3"
"EL433","16326.367033252","164.3150983651","2.3","10.1","10.0","2.5","0.2"
"DEB34","68862.2963199628","34.389613407302","10.6","10.7","11.4","10.0","-0.6"
"EL511","14870.6418442906","141.649428905477","8.0","6.3","15.6","-1.4","-9.4"
