"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"DK05","48347.956872951","31.2975293203096","7.2","9.2","11.6","4.9","-2.4"
"NL36","54253.6622815897","92.8969638332378","12.5","10.0","9.1","13.5","1.0"
"ITI3","31153.4142487308","114.447096795885","5.4","5.9","13.2","-1.9","-7.3"
"ES62","24437.4247382755","62.4974667606308","14.2","8.7","8.5","14.3","0.1"
"DEF0","40478.602877134","49.0416683065224","11.6","8.2","13.9","5.9","-5.7"
"PT30","24795.779859355","95.4517932827581","20.2","6.9","12.2","14.9","-5.3"
"SK01","43048.6766871996","60.7422269017872","6.2","9.8","9.6","6.4","0.2"
"DK03","53103.8814290901","29.8934678865025","9.4","9.0","11.1","7.3","-2.1"
"PT1D","18061.2410439937","72.3623517219504","39.0","7.4","13.7","32.7","-6.3"
"HU12","15201.3732898468","43.8537832341918","12.0","9.6","11.9","9.7","-2.3"
"DE26","46752.5196647061","48.6704788214883","-4.0","9.0","12.6","-7.6","-3.6"
"AT11","34771.3075007645","61.4954483287016","17.4","7.2","12.3","12.2","-5.1"
"EL65","17722.9858533159","198.153907896057","1.0","6.8","15.9","-8.1","-9.1"
"ITF1","28543.7125279204","105.490027038677","4.3","6.3","13.2","-2.6","-6.9"
"SE21","44779.5875162194","33.9183682760819","4.6","9.5","9.9","4.3","-0.4"
"EL51","13761.374639569","171.401976151373","4.9","6.9","15.0","-3.2","-8.0"
"EL63","14078.3655243644","167.000637017521","-0.9","7.4","14.4","-7.9","-7.0"
"BG32","8817.62142935255","125.976298325688","2.1","7.5","22.0","-12.5","-14.6"
"RO12","13355.0966151594","77.993279672174","7.0","10.0","13.6","3.4","-3.6"
"CZ05","21654.7186638397","58.1198136579889","27.7","9.2","11.4","25.5","-2.2"
"SK04","14880.9184197186","58.8685376382683","-1.5","11.4","10.1","-0.2","1.3"
"SI04","32601.0645878534","102.402548154113","7.0","8.5","9.8","5.7","-1.3"
