region_name,num_households_2021_total,num_households_2016_total,median_total_income_2020_total_cad,median_total_income_2015_total_cad,median_aftertax_income_2020_total_cad,median_aftertax_income_2015_total_cad,num_households_2021_1person,median_total_income_2020_1person_cad,num_households_2021_census_family,median_total_income_2020_census_family_cad,num_households_2021_non_census_family,median_total_income_2020_non_census_family_cad
Saint-Hubert-de-Rivière-du-Loup,645,565,65000,58800,56800,52800,225,35200,410,85000,240,36800
Saint-Hugues,540,530,76000,66000,66500,58800,150,40400,385,96000,155,41600
Saint-Hyacinthe,26870,25480,61200,55200,54000,48800,11030,35200,14965,89000,11905,37200
Saint-Ignace-de-Loyola,945,915,72000,64000,62800,56400,275,36400,645,92000,295,38400
Saint-Ignace-de-Stanbridge,265,265,81000,59200,71000,55200,55,39600,205,94000,60,40400
Saint-Irénée,330,285,73500,71500,60000,62000,105,42800,215,91000,115,44800
Saint-Isidore,610,600,52800,47200,48000,44000,190,26200,390,70500,215,28600
Saint-Isidore,360,340,60000,65000,53600,58800,115,35200,235,77500,130,36400
Saint-Isidore,1340,1145,83000,74000,71500,64500,360,41200,960,101000,375,42800
Saint-Isidore,1070,1030,94000,79500,80000,68000,250,46000,795,109000,280,50400
Saint-Isidore-de-Clifton,315,315,56800,49200,52800,44400,110,29400,205,78500,110,30400
Saint-Jacques,715,695,71500,61600,63200,54000,145,36400,550,81000,165,40800
Saint-Jacques,1890,1680,70000,62400,61600,54800,585,36400,1240,91000,650,40400
Saint-Jacques-de-Leeds,315,300,58000,52400,51600,49200,105,29800,200,81000,110,32800
Saint-Jacques-le-Majeur-de-Wolfestown,,,,,,,,,,,,
Saint-Jacques-le-Mineur,710,635,90000,70500,75500,61200,175,48000,520,108000,190,48400
Saint-Janvier-de-Joly,470,445,74000,58400,63200,52000,140,37600,320,91000,150,38400
Saint-Jean-Baptiste,1345,1315,80000,68000,68500,58800,380,34000,935,101000,410,38400
Saint-Jean-Port-Joli,1540,1530,62400,56800,54400,50400,575,36000,925,85000,615,38000
Saint-Jean-de-Brébeuf,155,160,63200,51200,54400,48400,50,29400,105,75500,55,30400
Saint-Jean-de-Cherbourg,,,,,,,,,,,,
Saint-Jean-de-Dieu,700,700,54400,50800,51600,45600,225,27600,465,73000,235,29400
Saint-Jean-de-Matha,2260,2020,62800,54400,56400,49200,790,36000,1405,82000,855,38400
Saint-Jean-de-l'Île-d'Orléans,495,495,81000,78000,69500,66000,170,45200,310,99000,185,47200
Saint-Jean-de-la-Lande,,,,,,,,,,,,
Saint-Jean-sur-Richelieu,42915,40840,74500,67000,64500,58000,14455,38400,27195,101000,15720,40400
Saint-Joachim,630,620,78000,70500,68000,61200,185,36400,435,99000,195,37200
Saint-Joachim-de-Shefford,570,495,74500,71000,66000,62000,125,33600,430,90000,140,39600
Saint-Joseph,675,655,73000,65500,63600,58800,160,35600,495,91000,180,38400
Saint-Joseph-de-Beauce,2130,2060,71500,64500,61600,56800,730,39600,1360,97000,770,40000
Saint-Joseph-de-Coleraine,865,835,60400,52400,54000,48000,305,31200,550,77000,315,33600
Saint-Joseph-de-Kamouraska,165,150,71500,68500,63200,60800,45,32800,120,89000,45,34800
Saint-Joseph-de-Lepage,225,215,78000,71000,68500,61200,50,40000,170,91000,55,42000
Saint-Joseph-de-Sorel,860,865,43600,37200,40000,35200,415,28000,390,61600,465,29400
Saint-Joseph-des-Érables,145,150,73000,65000,65500,58000,40,36000,105,86000,45,40800
Saint-Joseph-du-Lac,2740,2530,94000,87000,79000,73500,620,43200,2060,115000,680,46000
Saint-Jude,520,480,80000,65000,70500,57200,120,44000,385,96000,135,47200
Saint-Jules,205,210,71000,62800,64000,57600,45,37600,150,87000,55,38800
Saint-Julien,175,160,60400,51200,53600,48800,45,27400,120,72500,50,30800
Saint-Just-de-Bretenières,345,340,45600,41200,41600,38000,160,28200,180,73000,160,29200
Saint-Juste-du-Lac,270,260,51600,50400,47200,45600,100,27400,165,74500,100,27800
Saint-Justin,460,455,61200,53200,54400,48000,140,28200,300,82000,165,31800
Saint-Jérôme,37370,33640,62800,55600,55200,49600,14550,34800,21455,89000,15915,37200
Saint-Lambert,10555,9815,88000,85000,72500,69000,4435,47600,5930,142000,4625,48800
Saint-Lambert,,,,,,,,,,,,
Saint-Lambert-de-Lauzon,2670,2545,96000,86000,81000,73000,600,45200,2020,114000,655,47200
Saint-Laurent-de-l'Île-d'Orléans,710,645,96000,94000,80000,79500,195,45600,505,117000,205,46400
Saint-Lazare,7750,6745,123000,116000,100000,95000,1070,50000,6585,135000,1165,52000
Saint-Lazare-de-Bellechasse,540,530,69500,62800,60800,56400,160,42000,365,91000,180,42800
Saint-Liboire,1150,1120,88000,80000,76000,70000,265,43600,855,105000,295,46000
Saint-Liguori,855,805,78500,70000,68000,60400,245,36800,595,98000,260,38000
Saint-Lin--Laurentides,9290,8080,78500,66500,68500,58400,2250,38800,6685,93000,2605,42400
Saint-Louis,750,725,71000,65500,62800,58000,175,32800,545,82000,200,36400
Saint-Louis,330,315,72000,59200,61200,54000,100,38400,210,93000,120,40800
Saint-Louis de Kent,425,395,48800,42000,44800,39200,160,26200,245,70000,180,28800
Saint-Louis-de-Blandford,490,435,65500,58800,58000,51600,165,40800,315,85000,180,41600
Saint-Louis-de-Gonzague,185,170,58000,50000,52800,45200,60,38400,120,75500,65,39200
Saint-Louis-de-Gonzague,755,580,87000,79500,74000,68500,165,42800,575,102000,185,45200
Saint-Louis-de-Gonzague-du-Cap-Tourmente,,0,,0,,0,,,,,,
Saint-Louis-du-Ha! Ha!,550,550,62000,56400,54400,51200,180,33600,365,86000,185,34400
Saint-Luc-de-Bellechasse,235,215,48400,43600,45600,38800,100,26600,130,71000,105,29600
Saint-Luc-de-Vincennes,250,255,63600,52400,57600,48400,95,31200,145,89000,105,32400
Saint-Lucien,795,725,68000,58800,59600,51600,235,35600,535,91000,260,38000
Saint-Ludger,450,460,63200,60000,55600,54000,125,30400,315,79500,135,32800
Saint-Ludger-de-Milot,320,320,61200,56000,51600,49600,130,31000,180,84000,135,33200
Saint-Léandre,185,190,58000,50800,51600,45200,75,31400,110,78500,80,32800
Saint-Léolin,305,300,48400,45600,44800,43200,110,23400,180,73500,125,24800
Saint-Léon-de-Standon,540,550,52800,49200,47200,45200,235,29800,290,80000,250,31200
Saint-Léon-le-Grand,420,420,62000,52400,55200,47600,125,31800,290,78000,130,33600
Saint-Léon-le-Grand,365,375,68500,61200,60400,55600,100,34400,260,83000,110,37600
Saint-Léonard,360,400,73000,68500,64500,61200,85,35600,270,87000,90,36400
Saint-Léonard,570,550,61200,52800,54400,48000,190,28400,365,84000,205,30200
Saint-Léonard-d'Aston,1105,995,69000,61200,60000,54000,365,38400,725,90000,380,38800
Saint-Léonard-de-Portneuf,520,505,70000,63600,61600,56000,175,37200,335,92000,185,38000
Saint-Magloire,345,315,47200,46800,44800,42400,150,27800,185,70000,160,28800
Saint-Majorique-de-Grantham,525,510,90000,78500,75500,67500,125,36000,390,107000,130,36800
Saint-Malachie,695,660,63200,58800,55600,52000,245,38000,440,89000,260,39600
Saint-Malo,200,195,68000,56400,63200,50800,55,30800,145,86000,60,33200
Saint-Marc-de-Figuery,350,325,105000,93000,89000,77500,80,47600,260,122000,90,55200
Saint-Marc-des-Carrières,1345,1290,59600,53600,52800,49600,505,31200,800,85000,545,33200
Saint-Marc-du-Lac-Long,180,180,57200,54400,52000,47600,55,27600,115,74000,60,29000
Saint-Marc-sur-Richelieu,880,855,106000,92000,87000,77500,185,48400,675,121000,205,50800
Saint-Marcel,205,195,59200,53200,52800,48800,70,36400,130,68500,75,37600
Saint-Marcel-de-Richelieu,210,215,69000,51600,58000,47200,65,40400,135,91000,75,43600
Saint-Marcellin,210,185,56400,50000,50400,43200,95,33200,115,80000,95,33600
Saint-Martin,1135,1105,63200,58400,56000,51600,385,36800,735,84000,405,38400
Saint-Mathias-sur-Richelieu,1975,1910,85000,75000,72000,64000,535,42000,1385,105000,590,44000
Saint-Mathieu,935,860,86000,76000,75000,66000,235,43600,675,108000,265,45600
Saint-Mathieu-d'Harricana,320,300,93000,90000,78000,75500,75,50800,240,112000,75,52000
Saint-Mathieu-de-Beloeil,1170,970,114000,106000,94000,87000,220,52000,925,129000,245,53200
Saint-Mathieu-de-Rioux,340,310,63600,58800,55200,50800,130,43600,210,81000,130,44000
Saint-Mathieu-du-Parc,765,665,68500,59600,60000,53200,295,43200,445,86000,320,44800
Saint-Maurice,1360,1305,82000,72500,71500,63200,335,34400,985,100000,375,38800
Saint-Maxime-du-Mont-Louis,500,495,53200,48400,48400,44400,185,27800,305,72500,200,29400
Saint-Michel,1260,1185,101000,84000,86000,72500,290,40800,950,123000,305,43200
Saint-Michel-de-Bellechasse,785,760,84000,77000,71500,66000,215,40800,550,106000,230,43200
Saint-Michel-des-Saints,1265,1115,58400,48400,52000,44800,515,34400,725,80000,545,35600
Saint-Michel-du-Squatec,500,500,53200,52000,49200,47200,175,27000,320,71500,180,28200
Saint-Modeste,445,435,90000,78500,76500,68500,90,43200,350,103000,100,43600
Saint-Moïse,265,265,52400,42800,48000,39600,105,28200,150,70000,115,30000
Saint-Médard,,,,,,,,,,,,
Saint-Narcisse,850,820,60400,55200,53200,50000,320,31000,510,81000,345,32400
Saint-Narcisse-de-Beaurivage,445,430,75500,66500,66000,59600,115,42400,330,95000,115,42400
Saint-Narcisse-de-Rimouski,495,450,68500,58400,60800,51200,155,38000,325,87000,170,38400
Saint-Nazaire,835,815,80000,70000,69000,60800,210,37600,620,95000,215,38800
Saint-Nazaire-d'Acton,360,355,72000,63600,62800,55600,80,42400,270,86000,90,42400
Saint-Nazaire-de-Dorchester,150,140,65500,59600,59600,55200,50,28000,100,78000,45,28200
Saint-Norbert,460,435,68500,58000,61200,52400,120,40800,325,80000,135,43600
Saint-Norbert-d'Arthabaska,480,470,76000,65500,67000,58400,110,39200,365,90000,120,40800
Saint-Noël,185,185,46400,42800,43200,38800,75,25800,100,86000,85,28000
Saint-Nérée-de-Bellechasse,355,350,62000,61600,55600,53200,125,31000,220,83000,130,32000
Saint-Octave-de-Métis,210,205,61600,65000,56000,57600,65,34000,140,93000,70,36000
Saint-Odilon-de-Cranbourne,565,540,67000,61600,62000,56000,145,34800,400,84000,160,37600
Saint-Omer,145,125,53600,46400,48400,44800,45,26000,95,68000,50,26200
Saint-Onésime-d'Ixworth,260,255,54000,52800,47600,47200,100,32000,155,73500,105,32800
Saint-Ours,795,780,76000,66500,65500,56800,240,41200,540,94000,255,43200
Saint-Pacôme,700,675,65000,60000,57600,54400,240,36400,445,84000,255,38000
Saint-Pamphile,1100,1110,59200,56800,53200,51200,405,32000,670,82000,420,34000
Saint-Pascal,1560,1555,61600,56800,54800,51200,545,32400,975,84000,585,34000
Saint-Patrice-de-Beaurivage,450,430,70000,63600,63600,54800,130,41200,305,91000,145,42800
Saint-Patrice-de-Sherrington,770,760,78500,68500,68500,60400,180,36800,565,95000,205,38000
Saint-Paul,365,340,64500,60400,58800,55600,85,36000,275,75000,95,40800
Saint-Paul,2700,2395,86000,75000,73500,64500,690,46800,1930,101000,765,48800
Saint-Paul-d'Abbotsford,1185,1155,78000,71500,68000,61600,310,39600,835,97000,345,42000
Saint-Paul-de-Montminy,410,375,53600,47600,48400,42400,165,27800,235,75000,170,28600
Saint-Paul-de-l'Île-aux-Noix,965,890,73500,60800,64500,53600,280,38800,645,91000,320,41600
Saint-Paul-de-la-Croix,155,155,54800,44000,49200,41200,60,29600,85,78500,70,31400
Saint-Paulin,715,675,58000,49600,51200,44800,250,25800,450,75500,270,27800
Saint-Philibert,145,145,72500,68500,64500,60000,35,37200,105,84000,40,38000
Saint-Philippe,2855,2490,103000,86000,86000,72500,575,52000,2205,117000,645,56000
Saint-Philippe-de-Néri,370,370,62400,51600,56400,47200,125,27600,240,81000,125,29800
Saint-Philémon,365,350,51200,47200,46400,42800,155,31600,205,72000,160,33600
Saint-Pie,2415,2310,79500,68500,69500,60400,660,40800,1675,100000,740,44000
Saint-Pie-de-Guire,185,185,78000,64000,66000,56000,50,40000,130,89000,55,40800
Saint-Pierre,130,125,71500,59600,62400,55600,40,36800,85,93000,45,38000
Saint-Pierre-Baptiste,235,220,62000,58400,56400,52000,80,34000,150,86000,85,35600
Saint-Pierre-de-Broughton,395,385,68000,58000,60400,52000,130,36800,260,83000,135,37600
Saint-Pierre-de-Lamy,,,,,,,,,,,,
Saint-Pierre-de-l'Île-d'Orléans,765,830,84000,75500,71500,65000,240,40400,520,106000,245,42400
Saint-Pierre-de-la-Rivière-du-Sud,370,370,75000,72000,64500,63200,115,40400,250,93000,120,41200
Saint-Pierre-les-Becquets,535,505,61600,55200,55600,51200,205,40000,325,81000,210,40800
Saint-Placide,780,730,71500,62800,61600,54400,260,38000,490,94000,290,40800
Saint-Polycarpe,1010,905,77500,67500,67500,59200,290,40400,695,94000,315,41200
Saint-Prime,1180,1135,75000,70000,65500,61200,340,40000,815,97000,360,40800
Saint-Prosper,1560,1500,67500,60000,59600,52800,490,37600,1040,86000,520,38800
Saint-Prosper-de-Champlain,240,240,55600,51600,50000,48400,105,32000,130,82000,110,34000
Saint-Quentin,635,630,70000,64500,62400,57200,160,37600,455,83000,175,40800
Saint-Quentin,975,965,59200,54000,52400,47600,360,32400,585,82000,390,35200
Saint-Raphaël,1085,1015,69500,59600,60400,52400,355,34000,715,88000,365,36800
Saint-Raymond,4970,4470,71500,63200,61200,54800,1630,38400,3255,95000,1715,40400
Saint-René,350,295,93000,72000,79500,61200,80,34000,270,108000,85,35200
Saint-René-de-Matane,480,470,56800,51600,50800,46400,165,37600,300,74500,180,38400
Saint-Robert,790,770,78500,69000,67500,60000,195,36400,575,91000,215,39600
Saint-Robert-Bellarmin,220,225,73000,69000,62800,60000,55,27200,160,84000,60,30400
Saint-Roch-Ouest,95,105,83000,64000,75500,58800,15,,80,92000,20,
Saint-Roch-de-Mékinac,175,160,52000,43200,45200,41200,80,33600,95,85000,80,33600
Saint-Roch-de-Richelieu,1125,945,84000,71500,72000,60000,310,44800,785,100000,340,47600
Saint-Roch-de-l'Achigan,2165,2030,82000,68500,70500,59600,535,38800,1555,101000,610,42000
Saint-Roch-des-Aulnaies,450,435,71500,64000,62000,55600,150,38400,285,97000,165,42400
Saint-Romain,325,300,62000,56800,56400,51600,110,33600,215,85000,120,35200
Saint-Rosaire,360,340,74500,60000,66500,55200,95,38000,260,90000,100,41200
Saint-Rémi,3680,3375,76000,68000,66000,58800,1170,36000,2400,100000,1280,38800
Saint-Rémi-de-Tingwick,210,210,70500,53200,59200,48000,60,40800,135,82000,70,44000
Saint-Samuel,330,320,67500,61200,60400,53200,105,37600,225,89000,105,40000
Saint-Sauveur,5940,5120,71000,64000,61200,55200,2310,41200,3455,98000,2480,43200
Saint-Simon,540,530,84000,75000,73000,66000,135,45600,400,99000,140,47200
Saint-Simon-de-Rimouski,230,200,57200,48800,51600,45200,80,32400,145,77500,85,35200
Saint-Simon-les-Mines,225,225,87000,73000,77000,62400,60,49200,160,109000,65,49200
Saint-Siméon,580,550,68000,59200,59200,52800,195,30200,360,90000,220,34400
Saint-Siméon,515,515,58400,60000,53600,54400,170,31000,330,76500,185,32000
Saint-Sixte,200,190,73500,65500,67500,60800,45,29200,140,93000,60,36000
Saint-Stanislas,510,510,55200,48000,51200,44400,200,33200,300,76000,205,33200
Saint-Stanislas,165,165,63200,63200,58000,56000,45,29600,115,84000,45,32400
Saint-Stanislas-de-Kostka,790,725,80000,68500,70000,61200,205,44400,565,96000,220,45600
Saint-Sulpice,1465,1435,83000,78500,71000,66000,420,49200,1015,103000,450,50400
Saint-Sylvestre,435,405,66500,59600,60000,54000,130,38400,295,83000,140,39600
Saint-Sylvère,345,345,62000,51200,56000,46800,100,26200,230,78500,115,29200
Saint-Sébastien,300,290,67000,58000,58400,51200,90,35600,205,84000,90,36800
Saint-Sébastien,265,270,77500,65000,67500,58400,70,46400,195,93000,75,46800
Saint-Séverin,145,125,56400,60400,51600,52000,50,41200,95,78000,50,41200
Saint-Séverin,365,370,61200,55600,54000,50000,140,28800,215,85000,150,31200
Saint-Sévère,145,130,77500,69000,67500,57600,40,48800,105,86000,40,50400
Saint-Tharcisius,185,185,51600,42000,47200,39600,70,26600,110,72000,75,26600
Saint-Thomas,1475,1380,77000,68500,67000,58800,395,42000,1045,95000,435,43200
Saint-Thomas-Didyme,365,320,58400,52000,51600,48000,140,31800,220,77500,145,32400
Saint-Thuribe,135,125,58400,52400,54800,46000,45,33600,80,72000,50,36400
Saint-Théodore-d'Acton,620,585,71000,61600,63600,55600,155,37600,450,85000,170,38800
Saint-Théophile,320,315,60000,58800,54000,51200,115,34800,205,78500,115,36800
Saint-Tite,1915,1815,50400,46800,46400,42400,855,29600,1020,75500,895,30800
Saint-Tite-des-Caps,720,685,58800,55200,52400,49200,260,32800,450,84000,265,33600
Saint-Télesphore,325,325,62400,59200,54800,52000,110,34800,205,81000,115,35200
Saint-Ubalde,735,690,54400,49200,50000,46400,295,30400,435,76000,300,33200
Saint-Ulric,780,755,62800,56800,55600,50000,290,38800,480,82000,295,39200
Saint-Urbain,585,585,68000,61200,59600,55200,190,35600,380,94000,205,37600
Saint-Urbain-Premier,500,495,87000,74500,76000,65000,105,36000,385,106000,115,40800
Saint-Valentin,165,170,75000,65000,69000,58400,35,35200,125,91000,35,39600
Saint-Vallier,455,460,72000,68500,64000,60400,145,40400,295,97000,165,43200
Saint-Valère,505,500,72500,66500,64500,58400,125,39600,360,88000,145,42400
Saint-Valérien,375,335,70000,64500,61600,56800,95,33600,275,85000,100,34000
Saint-Valérien-de-Milton,705,710,80000,65000,70500,56800,185,37600,495,97000,205,41200
Saint-Venant-de-Paquette,,,,,,,,,,,,
Saint-Vianney,215,205,49600,43600,45600,40400,65,22400,140,72000,70,22400
Saint-Victor,1025,970,67000,62000,59600,55600,325,34000,685,91000,340,36000
Saint-Wenceslas,495,485,70500,65000,63200,56400,130,40400,355,88000,145,42000
Saint-Zacharie,760,735,60000,53600,54400,49600,230,32800,510,78000,250,34400
Saint-Zotique,3990,3225,87000,81000,73500,68000,1055,43600,2835,105000,1155,46400
Saint-Zénon,720,585,52000,49600,46800,43600,300,28400,405,73500,315,29800
Saint-Zénon-du-Lac-Humqui,190,165,48000,47200,45600,41600,85,29200,110,66500,85,29200
Saint-Zéphirin-de-Courval,295,285,69000,60800,60800,54400,90,30200,195,87000,100,33200
Saint-Édouard,515,515,91000,76000,78500,65500,120,35200,380,108000,135,40800
Saint-Édouard-de-Fabre,290,265,75500,69000,65500,59200,70,31200,205,100000,80,34400
Saint-Édouard-de-Lotbinière,520,490,68500,60400,60000,54000,170,40000,330,88000,190,41600
Saint-Édouard-de-Maskinongé,360,325,60800,48000,53600,45600,105,26400,245,75500,115,27400
Saint-Élie-de-Caxton,930,865,63200,57200,56000,52000,320,33600,575,83000,355,37600
Saint-Éloi,135,130,62000,50800,56000,46800,40,34800,95,82000,40,34800
Saint-Émile-de-Suffolk,240,220,50800,44000,49200,41200,90,28000,140,78500,100,30800
Saint-Éphrem-de-Beauce,990,960,72000,65000,63600,58000,290,38800,680,90000,310,39600
Saint-Épiphane,370,360,58000,52400,53600,48400,140,33200,220,83000,150,35600
Saint-Étienne-de-Beauharnois,425,330,104000,81000,87000,69000,85,46400,325,118000,100,47600
Saint-Étienne-de-Bolton,410,320,79000,64500,67500,56800,135,38000,275,102000,145,40000
Saint-Étienne-des-Grès,1870,1855,81000,76000,71000,65500,495,37200,1340,103000,540,39200
Saint-Évariste-de-Forsyth,230,230,58400,55200,54400,50000,70,38800,150,73000,80,41200
Sainte-Adèle,6900,6280,69000,58400,60000,51200,2705,37600,3975,97000,2915,40000
Sainte-Agathe-de-Lotbinière,470,485,62000,57200,55200,52400,165,32400,290,83000,185,35200
Sainte-Agathe-des-Monts,5515,4875,58800,48800,52400,44800,2205,32000,3090,83000,2425,34400
Sainte-Angèle-de-Monnoir,725,700,82000,72000,70500,62800,165,39600,545,97000,180,40000
Sainte-Angèle-de-Mérici,455,425,58000,50000,52800,45200,165,31200,275,82000,180,32800
Sainte-Angèle-de-Prémont,310,290,52400,43200,49200,39200,120,27800,175,70000,130,30200
Sainte-Anne,435,445,58800,52000,54000,46400,130,28400,300,74000,135,31000
Sainte-Anne-de-Beaupré,1410,1345,58800,53200,52800,48800,565,32800,805,85000,610,34400
Sainte-Anne-de-Bellevue,2105,1960,81000,72500,69000,62000,750,37600,1215,122000,895,40400
Sainte-Anne-de-Madawaska,415,410,59600,54000,51200,48400,135,27800,270,75000,145,32000
Sainte-Anne-de-Sabrevois,880,840,82000,71000,71500,60400,220,43600,635,98000,250,45600
Sainte-Anne-de-Sorel,1270,1205,80000,77500,68500,65500,370,47600,875,97000,395,48800
Sainte-Anne-de-la-Pocatière,685,670,78000,77500,67000,67000,165,42400,500,97000,180,43200
Sainte-Anne-de-la-Pérade,980,955,56000,48800,50000,44400,395,31600,550,75000,425,33200
Sainte-Anne-de-la-Rochelle,250,240,68000,64000,60400,56400,65,38400,185,84000,65,38400
Sainte-Anne-des-Lacs,1795,1650,94000,84000,79500,68500,500,49200,1265,115000,525,50400
Sainte-Anne-des-Monts,3030,3020,54400,49200,49200,45200,1210,29200,1710,80000,1315,31400
Sainte-Anne-des-Plaines,5880,5260,80000,75000,69500,65000,1545,39600,4170,97000,1710,42400
Sainte-Anne-du-Lac,300,285,42800,40800,40000,39200,130,25400,165,61200,135,26400
Sainte-Apolline-de-Patton,255,250,46400,46400,43600,42800,100,28000,150,71000,105,29000
Sainte-Aurélie,425,410,60000,53600,52000,47600,165,41200,250,86000,170,41600
Sainte-Barbe,730,600,78500,71500,68000,60000,185,42000,530,90000,205,43200
Sainte-Brigide-d'Iberville,565,530,79000,72000,69500,63200,140,36000,410,97000,155,41200
Sainte-Brigitte-de-Laval,3205,2815,103000,92000,87000,76500,655,50400,2500,115000,705,52000
Sainte-Brigitte-des-Saults,305,290,77500,68000,68000,58000,90,38400,205,90000,100,42800
Sainte-Béatrix,1045,940,63600,54400,54800,48800,360,35600,635,84000,400,38000
Sainte-Catherine,6910,6755,89000,82000,75500,69000,1910,45200,4825,110000,2085,47200
Sainte-Catherine-de-Hatley,1175,1070,91000,77500,77000,66000,290,46000,865,107000,310,47600
Sainte-Catherine-de-la-Jacques-Cartier,3300,2965,99000,91000,84000,77000,735,52000,2485,116000,815,55600
Sainte-Christine,315,295,67000,61600,59600,55200,80,39200,225,81000,85,40000
Sainte-Christine-d'Auvergne,325,0,64500,0,55200,0,125,38000,195,88000,130,38400
Sainte-Claire,1585,1450,72000,65500,62400,56400,540,41200,1020,92000,560,42000
Sainte-Clotilde,780,645,79500,65500,68500,58400,190,37600,560,97000,220,40800
Sainte-Clotilde-de-Beauce,235,240,75000,56400,64500,48800,65,32400,165,96000,70,32800
Sainte-Clotilde-de-Horton,685,690,65500,55600,58400,49600,195,40000,470,79000,210,43600
Sainte-Croix,1125,1115,62800,60800,55600,54400,395,35600,700,88000,425,37600
Sainte-Cécile-de-Lévrard,150,155,66000,55200,56000,49600,50,34800,100,79500,50,37200
Sainte-Cécile-de-Milton,830,810,87000,73000,76500,65000,195,38000,620,100000,210,41200
Sainte-Cécile-de-Whitton,355,345,64500,62800,58000,55600,110,35200,250,82000,115,36400
Sainte-Edwidge-de-Clifton,200,180,74000,66500,70500,58400,45,36800,155,91000,45,38800
Sainte-Eulalie,415,380,65500,59200,58800,50800,125,31200,280,84000,140,35600
Sainte-Euphémie-sur-Rivière-du-Sud,170,160,48000,44800,44800,42000,65,27800,100,73000,70,28400
Sainte-Famille-de-l'Île-d'Orléans,340,385,88000,82000,73500,68000,80,36800,255,103000,90,41200
Sainte-Flavie,420,410,62000,59200,54000,52800,150,39600,260,86000,160,41600
Sainte-Florence,185,190,46800,44000,42400,40000,75,24600,110,71000,80,24600
Sainte-Françoise,190,185,50000,46800,46800,43600,70,29600,120,70000,75,31800
Sainte-Françoise,215,215,61600,53200,56000,47600,65,38000,145,69000,70,40400
Sainte-Félicité,505,485,57200,52000,51600,46000,165,27000,310,74500,190,29800
Sainte-Félicité,170,180,50400,50000,45200,46800,65,27200,105,68500,70,28600
Sainte-Geneviève-de-Batiscan,510,495,62400,56400,55600,49600,195,37200,315,87000,205,38400
Sainte-Geneviève-de-Berthier,945,935,75500,70500,64500,60000,235,38800,680,92000,265,41600
Sainte-Germaine-Boulé,385,410,82000,72500,71500,62800,95,42000,285,99000,105,42000
Sainte-Gertrude-Manneville,310,305,90000,72000,77000,63200,70,47600,240,103000,70,49200
Sainte-Hedwidge,390,370,67000,59200,59600,52400,110,35600,275,85000,115,38800
Sainte-Hélène-de-Bagot,715,680,74000,68000,65000,60000,210,42400,480,94000,240,43600
Sainte-Hélène-de-Chester,170,160,65000,50800,55600,46000,55,32400,110,85000,60,32000
Sainte-Hélène-de-Kamouraska,385,365,64000,57200,57200,52800,110,36800,260,84000,115,39200
Sainte-Hélène-de-Mancebourg,160,155,83000,73000,70000,62400,40,44800,115,104000,45,48400
Sainte-Hénédine,545,475,77500,73500,68000,65000,145,37200,390,94000,155,40400
Sainte-Irène,175,160,71000,58000,62000,52400,60,49200,110,80000,60,49600
Sainte-Jeanne-d'Arc,,130,,44800,,42000,,,,,,
Sainte-Jeanne-d'Arc,495,450,71500,66000,62000,57600,125,43200,355,86000,145,45600
Sainte-Julie,11610,11080,107000,102000,89000,84000,2640,50000,8785,128000,2825,52000
Sainte-Julienne,4575,4180,74000,60800,64500,53600,1250,38000,3140,92000,1430,41200
Sainte-Justine,785,760,65500,60400,58800,54400,240,34800,530,86000,255,36000
Sainte-Justine-de-Newton,410,385,63200,62400,54800,56000,130,35200,270,86000,140,38800
Sainte-Louise,305,300,58400,51200,54000,46800,100,31400,190,77000,110,33200
Sainte-Luce,1290,1235,70000,65000,60800,56000,440,39600,820,92000,470,41200
Sainte-Lucie-de-Beauregard,145,140,52000,42800,47600,40400,65,34000,85,72000,65,34000
Sainte-Lucie-des-Laurentides,690,605,61200,52000,54400,46400,260,33200,395,84000,290,36000
Sainte-Madeleine,960,925,82000,75000,70500,64500,270,40400,655,104000,305,42800
Sainte-Madeleine-de-la-Rivière-Madeleine,160,150,40800,38000,39600,37200,60,24000,95,56000,65,24800
Sainte-Marcelline-de-Kildare,830,735,70000,59600,62000,52800,280,39600,530,90000,295,40400
Sainte-Marguerite,490,440,74500,70000,66000,62400,140,44000,345,94000,150,44400
Sainte-Marguerite-Marie,,,,,,,,,,,,
Sainte-Marguerite-du-Lac-Masson,1690,1400,67500,55600,58800,49200,620,39200,1015,88000,675,42000
Sainte-Marie,5500,5650,78000,70000,68000,60800,1685,41600,3690,102000,1810,43600
Sainte-Marie-Madeleine,1170,1140,86000,79500,74500,69000,315,46000,835,109000,335,47200
Sainte-Marie-Saint-Raphaël,395,405,58800,55600,52800,50000,135,24200,245,76500,150,27000
Sainte-Marie-Salomé,520,510,71500,64500,63600,58000,155,38800,345,99000,165,40000
Sainte-Marie-de-Blandford,225,215,63600,50000,57600,45200,70,40000,145,86000,80,43200
Sainte-Marthe,430,430,83000,74500,71000,65500,100,43600,315,102000,110,44400
Sainte-Marthe-sur-le-Lac,7505,6870,97000,88000,82000,74000,1710,50000,5635,114000,1860,52000
Sainte-Martine,2405,2305,78500,71500,68000,61200,685,42400,1655,101000,750,45600
Sainte-Monique,220,210,65000,52400,57600,48000,65,34800,150,83000,70,36400
Sainte-Monique,380,365,65500,60000,58000,53200,115,33600,255,90000,120,35200
Sainte-Mélanie,1395,1275,74500,67000,65500,58800,390,38000,975,93000,420,40800
Sainte-Paule,,,,,,,,,,,,
Sainte-Perpétue,755,715,58000,57600,51200,50000,270,30200,470,82000,285,31400
