"geo","n_transactions","median_price","detached_share_pct","semi_share_pct","terraced_share_pct","flat_share_pct","newbuild_share_pct"
"VALE OF WHITE HORSE","2626","392750","37.09063214013709","28.14166031987814","16.984006092916985","13.175932977913176","20.6016755521706"
"NORTH LINCOLNSHIRE","2723","170000","36.981270657363204","39.29489533602644","16.195372750642672","2.2034520749173705","7.565185457216305"
"NORTH SOMERSET","4116","310000","30.12633624878523","27.235179786200195","17.71137026239067","19.897959183673468","10.44703595724004"
"CEREDIGION","1044","238250","39.17624521072797","21.64750957854406","22.03065134099617","4.406130268199234","2.2988505747126435"
"HART","1556","465000","33.354755784061695","23.26478149100257","20.822622107969153","18.830334190231362","7.969151670951157"
"MAIDSTONE","2827","345000","21.96674920410329","29.359745313052706","24.65511142553944","17.262115316590023","8.807923593915811"
"BOURNEMOUTH, CHRISTCHURCH AND POOLE","6847","321500","32.72966262596758","14.108368628596466","11.08514677961151","36.77523002774938","3.344530451292537"
"NEWCASTLE UPON TYNE","4601","190000","14.953271028037383","26.97239730493371","29.602260378178656","22.60378178656814","14.322973266681156"
"SLOUGH","1464","365000","8.19672131147541","20.42349726775956","29.439890710382514","37.90983606557377","11.953551912568306"
"STROUD","2112","340000","34.46969696969697","27.46212121212121","21.401515151515152","8.806818181818182","10.606060606060606"
