variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
married_couple_with_children_per1000 vs owned_with_mortgage_per1000,county(n=31),corr=0.738,electoral_division(n=3420),corr=0.763,similar,yes,yes
married_couple_with_children_per1000 vs rented_private_landlord_per1000,county(n=31),corr=-0.825,electoral_division(n=3420),corr=-0.676,similar,yes,yes
married_couple_with_children_per1000 vs rented_local_authority_per1000,county(n=31),corr=-0.642,electoral_division(n=3420),corr=-0.574,similar,yes,yes
married_couple_with_children_per1000 vs no_central_heating_per1000,county(n=31),corr=-0.455,electoral_division(n=3420),corr=-0.193,magnitude_change,yes,yes
married_couple_with_children_per1000 vs oil_heating_per1000,county(n=31),corr=0.416,electoral_division(n=3420),corr=0.549,magnitude_change,yes,yes
married_couple_with_children_per1000 vs natural_gas_heating_per1000,county(n=31),corr=-0.274,electoral_division(n=3420),corr=-0.428,magnitude_change,no,yes
married_couple_with_children_per1000 vs private_water_source_per1000,county(n=31),corr=0.558,electoral_division(n=3420),corr=0.478,similar,yes,yes
married_couple_with_children_per1000 vs septic_tank_per1000,county(n=31),corr=0.567,electoral_division(n=3420),corr=0.626,similar,yes,yes
married_couple_with_children_per1000 vs at_work_per1000,county(n=31),corr=-0.002,electoral_division(n=3420),corr=0.335,magnitude_change,no,yes
married_couple_with_children_per1000 vs unemployed_per1000,county(n=31),corr=-0.396,electoral_division(n=3420),corr=-0.573,magnitude_change,yes,yes
married_couple_with_children_per1000 vs retired_per1000,county(n=31),corr=0.163,electoral_division(n=3420),corr=-0.113,reversed,no,yes
married_couple_with_children_per1000 vs looking_after_home_family_per1000,county(n=31),corr=0.649,electoral_division(n=3420),corr=0.204,magnitude_change,yes,yes
married_couple_with_children_per1000 vs unable_to_work_disability_per1000,county(n=31),corr=-0.145,electoral_division(n=3420),corr=-0.423,magnitude_change,no,yes
married_couple_with_children_per1000 vs professional_workers_per1000,county(n=31),corr=-0.238,electoral_division(n=3420),corr=0.25,reversed,no,yes
married_couple_with_children_per1000 vs unskilled_workers_per1000,county(n=31),corr=-0.016,electoral_division(n=3420),corr=-0.316,magnitude_change,no,yes
married_couple_with_children_per1000 vs no_formal_education_per1000,county(n=31),corr=0.27,electoral_division(n=3420),corr=-0.154,reversed,no,yes
married_couple_with_children_per1000 vs upper_secondary_per1000,county(n=31),corr=0.558,electoral_division(n=3420),corr=0.162,magnitude_change,yes,yes
married_couple_with_children_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.316,electoral_division(n=3420),corr=0.099,reversed,no,yes
cohabiting_couple_with_children_per1000 vs owned_outright_per1000,county(n=31),corr=0.13,electoral_division(n=3420),corr=-0.221,reversed,no,yes
cohabiting_couple_with_children_per1000 vs owned_with_mortgage_per1000,county(n=31),corr=0.404,electoral_division(n=3420),corr=-0.044,magnitude_change,yes,yes
cohabiting_couple_with_children_per1000 vs rented_private_landlord_per1000,county(n=31),corr=-0.62,electoral_division(n=3420),corr=0.033,magnitude_change,yes,no
cohabiting_couple_with_children_per1000 vs rented_local_authority_per1000,county(n=31),corr=0.165,electoral_division(n=3420),corr=0.352,magnitude_change,no,yes
cohabiting_couple_with_children_per1000 vs no_central_heating_per1000,county(n=31),corr=-0.098,electoral_division(n=3420),corr=0.021,magnitude_change,no,no
cohabiting_couple_with_children_per1000 vs oil_heating_per1000,county(n=31),corr=0.341,electoral_division(n=3420),corr=0.021,magnitude_change,no,no
cohabiting_couple_with_children_per1000 vs natural_gas_heating_per1000,county(n=31),corr=-0.286,electoral_division(n=3420),corr=0.018,magnitude_change,no,no
cohabiting_couple_with_children_per1000 vs private_water_source_per1000,county(n=31),corr=0.48,electoral_division(n=3420),corr=-0.141,reversed,yes,yes
cohabiting_couple_with_children_per1000 vs septic_tank_per1000,county(n=31),corr=0.317,electoral_division(n=3420),corr=-0.202,reversed,no,yes
cohabiting_couple_with_children_per1000 vs at_work_per1000,county(n=31),corr=-0.12,electoral_division(n=3420),corr=-0.069,magnitude_change,no,yes
cohabiting_couple_with_children_per1000 vs unemployed_per1000,county(n=31),corr=0.397,electoral_division(n=3420),corr=0.264,magnitude_change,yes,yes
cohabiting_couple_with_children_per1000 vs retired_per1000,county(n=31),corr=-0.113,electoral_division(n=3420),corr=-0.117,similar,no,yes
cohabiting_couple_with_children_per1000 vs looking_after_home_family_per1000,county(n=31),corr=0.704,electoral_division(n=3420),corr=0.152,magnitude_change,yes,yes
cohabiting_couple_with_children_per1000 vs unable_to_work_disability_per1000,county(n=31),corr=0.481,electoral_division(n=3420),corr=0.283,magnitude_change,yes,yes
cohabiting_couple_with_children_per1000 vs professional_workers_per1000,county(n=31),corr=-0.757,electoral_division(n=3420),corr=-0.304,magnitude_change,yes,yes
cohabiting_couple_with_children_per1000 vs unskilled_workers_per1000,county(n=31),corr=0.527,electoral_division(n=3420),corr=0.251,magnitude_change,yes,yes
cohabiting_couple_with_children_per1000 vs no_formal_education_per1000,county(n=31),corr=0.367,electoral_division(n=3420),corr=0.155,magnitude_change,yes,yes
cohabiting_couple_with_children_per1000 vs upper_secondary_per1000,county(n=31),corr=0.706,electoral_division(n=3420),corr=0.229,magnitude_change,yes,yes
cohabiting_couple_with_children_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.74,electoral_division(n=3420),corr=-0.298,magnitude_change,yes,yes
owned_outright_per1000 vs owned_with_mortgage_per1000,county(n=31),corr=-0.121,electoral_division(n=3420),corr=0.054,reversed,no,yes
owned_outright_per1000 vs rented_private_landlord_per1000,county(n=31),corr=-0.639,electoral_division(n=3420),corr=-0.678,similar,yes,yes
owned_outright_per1000 vs rented_local_authority_per1000,county(n=31),corr=-0.493,electoral_division(n=3420),corr=-0.517,similar,yes,yes
owned_outright_per1000 vs no_central_heating_per1000,county(n=31),corr=0.246,electoral_division(n=3420),corr=0.091,magnitude_change,no,yes
owned_outright_per1000 vs oil_heating_per1000,county(n=31),corr=0.755,electoral_division(n=3420),corr=0.482,magnitude_change,yes,yes
owned_outright_per1000 vs natural_gas_heating_per1000,county(n=31),corr=-0.751,electoral_division(n=3420),corr=-0.509,magnitude_change,yes,yes
owned_outright_per1000 vs private_water_source_per1000,county(n=31),corr=0.576,electoral_division(n=3420),corr=0.451,similar,yes,yes
owned_outright_per1000 vs septic_tank_per1000,county(n=31),corr=0.882,electoral_division(n=3420),corr=0.724,similar,yes,yes
owned_outright_per1000 vs at_work_per1000,county(n=31),corr=-0.724,electoral_division(n=3420),corr=-0.229,magnitude_change,yes,yes
owned_outright_per1000 vs unemployed_per1000,county(n=31),corr=-0.13,electoral_division(n=3420),corr=-0.38,magnitude_change,no,yes
owned_outright_per1000 vs retired_per1000,county(n=31),corr=0.87,electoral_division(n=3420),corr=0.547,magnitude_change,yes,yes
owned_outright_per1000 vs looking_after_home_family_per1000,county(n=31),corr=0.372,electoral_division(n=3420),corr=0.305,similar,yes,yes
owned_outright_per1000 vs unable_to_work_disability_per1000,county(n=31),corr=0.394,electoral_division(n=3420),corr=-0.169,reversed,yes,yes
owned_outright_per1000 vs professional_workers_per1000,county(n=31),corr=-0.374,electoral_division(n=3420),corr=-0.026,magnitude_change,yes,no
owned_outright_per1000 vs unskilled_workers_per1000,county(n=31),corr=0.342,electoral_division(n=3420),corr=-0.049,magnitude_change,no,yes
owned_outright_per1000 vs no_formal_education_per1000,county(n=31),corr=0.48,electoral_division(n=3420),corr=0.135,magnitude_change,yes,yes
owned_outright_per1000 vs upper_secondary_per1000,county(n=31),corr=0.499,electoral_division(n=3420),corr=0.164,magnitude_change,yes,yes
owned_outright_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.515,electoral_division(n=3420),corr=-0.21,magnitude_change,yes,yes
owned_with_mortgage_per1000 vs rented_private_landlord_per1000,county(n=31),corr=-0.597,electoral_division(n=3420),corr=-0.56,similar,yes,yes
owned_with_mortgage_per1000 vs rented_local_authority_per1000,county(n=31),corr=-0.389,electoral_division(n=3420),corr=-0.464,similar,yes,yes
owned_with_mortgage_per1000 vs no_central_heating_per1000,county(n=31),corr=-0.573,electoral_division(n=3420),corr=-0.271,magnitude_change,yes,yes
owned_with_mortgage_per1000 vs oil_heating_per1000,county(n=31),corr=-0.12,electoral_division(n=3420),corr=0.358,reversed,no,yes
owned_with_mortgage_per1000 vs natural_gas_heating_per1000,county(n=31),corr=0.265,electoral_division(n=3420),corr=-0.166,reversed,no,yes
owned_with_mortgage_per1000 vs private_water_source_per1000,county(n=31),corr=0.247,electoral_division(n=3420),corr=0.316,similar,no,yes
