variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
avg_educational_grants vs capital_income_recipients_per1000,province(n=11),corr=-0.162,kommune(n=98),corr=0.157,reversed,no,no
avg_educational_grants vs land_tax_homeowner_recipients_per1000,province(n=11),corr=-0.887,kommune(n=98),corr=-0.725,similar,yes,yes
avg_child_benefits vs avg_public_pension,province(n=11),corr=-0.408,kommune(n=98),corr=-0.759,magnitude_change,no,yes
avg_child_benefits vs avg_disability_oldage_pension,province(n=11),corr=-0.408,kommune(n=98),corr=-0.76,magnitude_change,no,yes
avg_child_benefits vs avg_private_pension,province(n=11),corr=0.281,kommune(n=98),corr=-0.165,reversed,no,no
avg_child_benefits vs avg_capital_income,province(n=11),corr=0.608,kommune(n=98),corr=0.089,magnitude_change,yes,no
avg_child_benefits vs avg_interest_received,province(n=11),corr=0.601,kommune(n=98),corr=0.136,magnitude_change,no,no
avg_child_benefits vs avg_income_tax,province(n=11),corr=0.639,kommune(n=98),corr=0.275,magnitude_change,yes,yes
avg_child_benefits vs avg_taxable_income,province(n=11),corr=0.588,kommune(n=98),corr=0.326,magnitude_change,no,yes
avg_child_benefits vs entrepreneurial_income_recipients_per1000,province(n=11),corr=-0.52,kommune(n=98),corr=-0.572,similar,no,yes
avg_child_benefits vs unemployment_benefit_recipients_per1000,province(n=11),corr=-0.307,kommune(n=98),corr=-0.06,magnitude_change,no,no
avg_child_benefits vs cash_benefit_recipients_per1000,province(n=11),corr=-0.192,kommune(n=98),corr=-0.081,magnitude_change,no,no
avg_child_benefits vs educational_grant_recipients_per1000,province(n=11),corr=-0.032,kommune(n=98),corr=0.205,magnitude_change,no,yes
avg_child_benefits vs child_benefit_recipients_per1000,province(n=11),corr=0.969,kommune(n=98),corr=0.979,similar,yes,yes
avg_child_benefits vs disability_oldage_pension_recipients_per1000,province(n=11),corr=-0.329,kommune(n=98),corr=-0.743,magnitude_change,no,yes
avg_child_benefits vs public_servants_pension_recipients_per1000,province(n=11),corr=-0.093,kommune(n=98),corr=-0.284,magnitude_change,no,yes
avg_child_benefits vs private_pension_recipients_per1000,province(n=11),corr=-0.108,kommune(n=98),corr=-0.596,magnitude_change,no,yes
avg_child_benefits vs capital_income_recipients_per1000,province(n=11),corr=0.373,kommune(n=98),corr=0.486,magnitude_change,no,yes
avg_child_benefits vs land_tax_homeowner_recipients_per1000,province(n=11),corr=0.087,kommune(n=98),corr=-0.11,reversed,no,no
avg_public_pension vs avg_disability_oldage_pension,province(n=11),corr=1.0,kommune(n=98),corr=1.0,similar,yes,yes
avg_public_pension vs avg_private_pension,province(n=11),corr=0.38,kommune(n=98),corr=0.114,magnitude_change,no,no
avg_public_pension vs avg_capital_income,province(n=11),corr=-0.453,kommune(n=98),corr=-0.243,magnitude_change,no,yes
avg_public_pension vs avg_interest_received,province(n=11),corr=-0.5,kommune(n=98),corr=-0.333,magnitude_change,no,yes
avg_public_pension vs avg_income_tax,province(n=11),corr=-0.594,kommune(n=98),corr=-0.462,similar,no,yes
avg_public_pension vs avg_taxable_income,province(n=11),corr=-0.68,kommune(n=98),corr=-0.535,similar,yes,yes
avg_public_pension vs entrepreneurial_income_recipients_per1000,province(n=11),corr=0.825,kommune(n=98),corr=0.635,similar,yes,yes
avg_public_pension vs unemployment_benefit_recipients_per1000,province(n=11),corr=-0.59,kommune(n=98),corr=-0.152,magnitude_change,no,no
avg_public_pension vs cash_benefit_recipients_per1000,province(n=11),corr=-0.189,kommune(n=98),corr=0.025,magnitude_change,no,no
avg_public_pension vs educational_grant_recipients_per1000,province(n=11),corr=-0.827,kommune(n=98),corr=-0.68,similar,yes,yes
avg_public_pension vs child_benefit_recipients_per1000,province(n=11),corr=-0.573,kommune(n=98),corr=-0.81,magnitude_change,no,yes
avg_public_pension vs disability_oldage_pension_recipients_per1000,province(n=11),corr=0.991,kommune(n=98),corr=0.981,similar,yes,yes
avg_public_pension vs public_servants_pension_recipients_per1000,province(n=11),corr=0.675,kommune(n=98),corr=0.346,magnitude_change,yes,yes
avg_public_pension vs private_pension_recipients_per1000,province(n=11),corr=0.912,kommune(n=98),corr=0.796,similar,yes,yes
avg_public_pension vs capital_income_recipients_per1000,province(n=11),corr=-0.167,kommune(n=98),corr=-0.527,magnitude_change,no,yes
