geo_name,avg_net_income_per_person,avg_household_net_income,avg_income_per_consumption_unit,median_income_per_consumption_unit,avg_gross_income_per_person,avg_household_income
Roquetas de Mar,11452.0,31886.0,17428.0,15050.0,13754.0,38298.0
Santa Cruz de Marchena,13266.0,24606.0,17634.0,17150.0,15312.0,28402.0
Santa Fe de Mondújar,10320.0,24259.0,14500.0,13650.0,11710.0,27526.0
Senés,14788.0,26442.0,19092.0,16450.0,17255.0,30854.0
Serón,12908.0,27196.0,18104.0,16450.0,15073.0,31757.0
Sierro,12899.0,24468.0,17258.0,16450.0,14908.0,28279.0
Somontín,12540.0,30096.0,18483.0,17850.0,14617.0,35082.0
Sorbas,10848.0,26470.0,15913.0,14350.0,12407.0,30274.0
Suflí,13537.0,26261.0,17893.0,14350.0,15853.0,30755.0
Tabernas,10229.0,25946.0,15159.0,14350.0,11647.0,29542.0
Taberno,10392.0,24464.0,15144.0,14350.0,11777.0,27725.0
Tahal,13360.0,28948.0,18616.0,16450.0,15563.0,33720.0
Terque,12198.0,24269.0,16368.0,14350.0,14077.0,28008.0
Tíjola,12471.0,29258.0,18018.0,16450.0,14747.0,34599.0
Turre,9803.0,23538.0,14188.0,12950.0,11133.0,26729.0
Turrillas,12751.0,24613.0,17417.0,17150.0,14523.0,28033.0
Uleila del Campo,10617.0,23821.0,15360.0,14350.0,11930.0,26766.0
Urrácal,13796.0,28901.0,18610.0,17150.0,16064.0,33654.0
Velefique,14968.0,27422.0,19839.0,19250.0,17211.0,31532.0
Vélez-Blanco,12421.0,25664.0,17157.0,15750.0,14238.0,29418.0
Vélez-Rubio,11198.0,27113.0,17109.0,15750.0,13885.0,33619.0
Vera,11330.0,30773.0,17086.0,14350.0,13505.0,36682.0
Viator,10621.0,29130.0,16216.0,15050.0,12166.0,33369.0
Vícar,9599.0,28377.0,14745.0,13650.0,10922.0,32288.0
Zurgena,11358.0,25697.0,16085.0,15050.0,12845.0,29062.0
"Tres Villas, Las",12419.0,24751.0,16935.0,15050.0,13951.0,27804.0
"Ejido, El",10297.0,29523.0,15825.0,13650.0,12071.0,34609.0
"Mojonera, La",9282.0,32087.0,14853.0,13650.0,10520.0,36369.0
Balanegra,10549.0,28322.0,15810.0,15050.0,12086.0,32448.0
Alegría-Dulantzi,16429.0,41762.0,24419.0,22050.0,19643.0,49931.0
Amurrio,17486.0,42818.0,25708.0,24150.0,20844.0,51041.0
Aramaio,20577.0,52084.0,30276.0,26250.0,25102.0,63539.0
Artziniega,16408.0,39945.0,24231.0,22750.0,19530.0,47546.0
Armiñón,17000.0,42042.0,24520.0,21350.0,20322.0,50259.0
Arratzua-Ubarrundia,22503.0,58081.0,33258.0,29750.0,27877.0,71951.0
Asparrena,17018.0,37481.0,23846.0,22750.0,20041.0,44141.0
Ayala/Aiara,17163.0,45243.0,25702.0,23450.0,20622.0,54362.0
Baños de Ebro/Mañueta,12122.0,30071.0,17701.0,15750.0,14016.0,34771.0
Barrundia,19238.0,46600.0,27809.0,26950.0,23077.0,55897.0
Berantevilla,18043.0,42267.0,25847.0,24150.0,21549.0,50480.0
Bernedo,18859.0,36807.0,25437.0,23450.0,22012.0,42961.0
Campezo/Kanpezu,16466.0,34127.0,22551.0,20650.0,19478.0,40369.0
Zigoitia,22355.0,54936.0,32304.0,29050.0,27508.0,67597.0
Kripan,13667.0,34771.0,19839.0,17850.0,15697.0,39934.0
Kuartango,18085.0,34872.0,24587.0,22750.0,21318.0,41106.0
Elburgo/Burgelu,20447.0,57524.0,31006.0,29050.0,24869.0,69966.0
Elciego,17062.0,40225.0,23836.0,19950.0,20391.0,48073.0
Elvillar/Bilar,13855.0,32118.0,19830.0,17850.0,15974.0,37030.0
Iruraiz-Gauna,20642.0,50666.0,30301.0,27650.0,24925.0,61179.0
Labastida/Bastida,14640.0,34746.0,20917.0,18550.0,17175.0,40762.0
Lagrán,19388.0,35113.0,25288.0,22050.0,22920.0,41510.0
Laguardia,16094.0,37085.0,22797.0,20650.0,19097.0,44004.0
Lanciego/Lantziego,12073.0,29263.0,17563.0,15750.0,13729.0,33275.0
Lapuebla de Labarca,12725.0,30085.0,18474.0,17150.0,14565.0,34433.0
Leza,15225.0,34131.0,21231.0,19250.0,17586.0,39424.0
Laudio/Llodio,17265.0,39586.0,24717.0,23450.0,20407.0,46790.0
Arraia-Maeztu,18668.0,41965.0,26293.0,22050.0,22287.0,50100.0
Moreda de Álava/Moreda Araba,15809.0,32628.0,22010.0,21350.0,18535.0,38253.0
Navaridas,11111.0,27026.0,15573.0,13650.0,12787.0,31105.0
Okondo,15323.0,39103.0,22638.0,21350.0,18249.0,46572.0
Oyón-Oion,14035.0,35832.0,20559.0,17850.0,16566.0,42294.0
Peñacerrada-Urizaharra,20263.0,38447.0,26743.0,25550.0,24534.0,46551.0
Erriberagoitia/Ribera Alta,19559.0,43823.0,27541.0,24850.0,23624.0,52931.0
Ribera Baja/Erribera Beitia,17082.0,46925.0,25564.0,22750.0,20692.0,56841.0
Añana,20208.0,34179.0,25872.0,25550.0,23745.0,40162.0
Salvatierra/Agurain,14946.0,36415.0,21815.0,21350.0,17531.0,42714.0
