region_name,num_persons_fiscal_households,num_households,median_living_standard_eur,d1_living_standard_eur,d9_living_standard_eur,interdecile_ratio_d9_d1,poverty_rate_pct_60med,share_taxed_households_pct,share_activity_income_pct,share_wages_pct,share_pensions_pct,share_social_benefits_pct,share_direct_taxes_pct
Versonnex,2036,798,38970,11600,83470,7.2,13,54,89.5,84.5,19,1.2,-16.8
Vesancy,453,197,45200,,,,,,,,,,
Vescours,217,91,23090,,,,,,,,,,
Vésines,,,,,,,,,,,,,
Vieu-d'Izenave,694,275,23450,,,,,,,,,,
Villars-les-Dombes,4854,2154,24480,14710,38370,2.6,8,55,76,70.7,28.2,4.1,-14.7
Villebois,1191,536,22700,,,,,,,,,,
Villemotier,629,246,23580,,,,,,,,,,
Villeneuve,1649,598,26440,,,,,,,,,,
Villereversure,1305,566,23600,,,,,,,,,,
Villes,361,155,30500,,,,,,,,,,
Villette-sur-Ain,774,299,26020,,,,,,,,,,
Villieu-Loyes-Mollon,3801,1488,26810,17020,44500,2.6,,64,84.1,75.5,23.2,3.1,-17
Viriat,6670,2762,25470,14960,40250,2.7,7,63,72.1,65.8,30.7,4,-15.6
Virieu-le-Grand,975,470,20600,,,,,,,,,,
Arvière-en-Valromey,654,312,22830,,,,,,,,,,
Virignin,1075,434,24130,,,,,,,,,,
Vongnes,,,,,,,,,,,,,
Vonnas,3143,1369,22000,13550,34780,2.6,11,46,63.4,56.8,34,4.9,-13.2
Abbécourt,479,192,21150,,,,,,,,,,
Achery,606,247,22340,,,,,,,,,,
Acy,1007,421,23020,,,,,,,,,,
Agnicourt-et-Séchelles,174,78,20880,,,,,,,,,,
Aguilcourt,401,154,24020,,,,,,,,,,
Aisonville-et-Bernoville,262,116,21910,,,,,,,,,,
Aizelles,110,45,22340,,,,,,,,,,
Aizy-Jouy,305,117,21950,,,,,,,,,,
Alaincourt,508,197,22980,,,,,,,,,,
Allemant,166,64,21980,,,,,,,,,,
Ambleny,1209,486,24380,,,,,,,,,,
Ambrief,,,,,,,,,,,,,
Amifontaine,376,151,23230,,,,,,,,,,
Amigny-Rouy,721,294,23040,,,,,,,,,,
Ancienville,,,,,,,,,,,,,
Andelain,220,86,21900,,,,,,,,,,
Anguilcourt-le-Sart,283,115,21630,,,,,,,,,,
Anizy-le-Grand,2442,1088,20610,12390,33700,2.7,17,45,64.8,56.5,36.3,6.9,-13.2
Annois,358,157,21860,,,,,,,,,,
Any-Martin-Rieux,449,180,19970,,,,,,,,,,
Archon,,,,,,,,,,,,,
Arcy-Sainte-Restitue,404,165,23140,,,,,,,,,,
Armentières-sur-Ourcq,100,43,22610,,,,,,,,,,
Arrancy,,,,,,,,,,,,,
Artemps,343,131,23930,,,,,,,,,,
Assis-sur-Serre,210,94,19990,,,,,,,,,,
Athies-sous-Laon,2588,1101,22820,13130,34480,2.6,12,54,70.2,64.4,33.1,5.2,-13.8
Attilly,332,141,24790,,,,,,,,,,
Aubencheul-aux-Bois,254,110,22440,,,,,,,,,,
Aubenton,638,279,18600,,,,,,,,,,
Aubigny-aux-Kaisnes,227,98,20000,,,,,,,,,,
Aubigny-en-Laonnois,106,48,26440,,,,,,,,,,
Audignicourt,120,44,21270,,,,,,,,,,
Audigny,257,95,19950,,,,,,,,,,
Augy,,,,,,,,,,,,,
Aulnois-sous-Laon,1337,544,21970,,,,,,,,,,
Les Autels,,,,,,,,,,,,,
Autremencourt,146,58,20530,,,,,,,,,,
Autreppes,168,65,21270,,,,,,,,,,
Autreville,814,352,23160,,,,,,,,,,
Azy-sur-Marne,367,158,23970,,,,,,,,,,
Bagneux,,,,,,,,,,,,,
Bancigny,,,,,,,,,,,,,
Barenton-Bugny,560,240,23250,,,,,,,,,,
Barenton-Cel,107,47,23580,,,,,,,,,,
Barenton-sur-Serre,126,54,22840,,,,,,,,,,
Barisis-aux-Bois,750,313,23500,,,,,,,,,,
