"geo","n_transactions","median_price_per_sqm","median_valeur_fonciere","median_surface_bati","median_pieces","appartement_share_pct"
"22229","13","857.142857142857","75000","85","4","0"
"65408","8","1559.7951344430217","80731.5","66.5","3","25"
"29279","16","1762.8205128205127","167500","90.5","4","0"
"58007","5","983.870967741935","33000","82","4","0"
"40250","6","2113.895863223338","267500","119.5","5","0"
"51483","3","1490.38461538462","148500","88","4","0"
"73025","5","1315.78947368421","128000","115","4","0"
"01419","35","4642.04545454545","452000","117","4","34.285714285714285"
"63282","7","1550","133000","75","3","0"
"03265","4","973.6735847532908","122000","97.5","3.5","0"
"02564","3","2205.88235294118","213500","76","4","0"
"69134","7","954.022988505747","83000","83","2","0"
"74112","43","5185.71428571429","361790","79","4","60.46511627906977"
"30126","5","3041.23711340206","335620","111","4","0"
"59284","20","1890.2241405421778","169150","83.5","4","15"
"88162","3","445.78313253012","37000","83","4","0"
"50074","15","1666.66666666667","128500","77","4","13.333333333333334"
"01291","3","1894.73684210526","90000","67","3","0"
"35232","3","1274.8031496063","161900","150","5","0"
"77257","31","2178.57142857143","177000","80","4","29.032258064516128"
"49125","57","1857.14285714286","185000","96","4","1.7543859649122806"
"88320","7","1966.875","240000","130","5","0"
"41154","9","1465.51724137931","120000","83","4","0"
"35175","11","1640","147000","80","4","0"
"74280","48","3975.053720118184","251950","68","3","77.08333333333333"
"59608","3","2010.86956521739","185000","100","4","0"
"64035","18","6108.193277310924","630000","111.5","4","22.22222222222222"
"56075","39","1942.30769230769","178200","91","4","2.5641025641025643"
"54274","69","2129.62962962963","145000","68","4","43.47826086956522"
"08084","4","1757.5876750700281","138430","97","4","0"
"73020","4","3033.4986772486773","203450","63","2.5","25"
"59119","3","1269.84126984127","160000","125","3","0"
"24312","30","1832.175925925926","155000","82","4","20"
"87056","5","736.842105263158","67228","88","3","0"
"69117","17","3514.49275362319","476000","137","6","5.882352941176471"
"14335","3","1944.44444444444","237000","95","3","0"
"86295","3","1304.34782608696","108000","87","3","0"
"81074","10","1394.2810923969932","136671","111.5","5","0"
"24479","12","1024.254831313462","76835","75.5","3","0"
"33465","4","2387.698176291793","212602.5","98","3.5","0"
"77181","38","4494.676020408164","253228","67","3","55.26315789473684"
"95509","28","3229.9660179178254","250000","82.5","4","7.142857142857143"
"24167","44","1798.2088414634145","152500","97","4","6.818181818181818"
"50058","16","2823.1132075471696","240000","87","4","0"
"02334","17","800","72000","82","4","0"
"71382","3","825","66000","80","4","0"
"63423","6","1555.5903866248693","150750","81","3.5","0"
"90031","4","1836.4978213507625","215275","118.5","5","0"
"05136","7","2649.03125","169538","64","4","14.285714285714286"
"72377","3","1082.35294117647","62000","54","3","0"
"85130","13","1947.67441860465","190000","95","4","7.6923076923076925"
"31495","4","2278.0387596899227","377070","171","6","0"
"64453","15","2023.23943661972","217950","93","4","0"
"56022","13","2195.16129032258","246550","99","4","0"
"38186","27","2367.6","59850","25","1","88.88888888888889"
"44076","12","1376.0504201680674","117500","83.5","3","8.333333333333334"
"43213","9","2193.87755102041","212250","98","4","11.11111111111111"
"64533","5","784.313725490196","120000","208","6","20"
"26001","3","2608.69565217391","240000","118","4","0"
"58063","7","1012.19512195122","83000","82","3","0"
"10442","5","1702.83687943262","195000","95","4","0"
"81142","4","1126.3905358948434","111621.76000000001","96","4","0"
"10018","7","1375","165000","110","5","0"
"60022","13","3287.31884057971","453650","138","6","0"
"07010","125","1309.28571428571","90000","74","3","67.2"
"70378","16","1398.1895223420647","139400","94.5","4","18.75"
"14162","3","638.888888888889","76000","66","3","0"
"19098","8","1285.548245614035","107287.5","84","3.5","0"
"01379","9","2216.66666666667","213000","92","4","33.333333333333336"
"16260","5","1666.66666666667","75000","58","3","0"
"29035","5","1428.57142857143","244350","123","5","0"
"12028","5","932.857142857143","65300","70","3","0"
"56195","11","2220.18348623853","175000","55","3","45.45454545454545"
"50236","42","1853.204010462075","150000","82","4","2.380952380952381"
"77139","47","3440.86021505376","321000","92","4","8.51063829787234"
"61023","5","1515.15151515152","125000","80","5","0"
"02094","3","1590.90909090909","165000","93","4","0"
"77430","38","2910.856134157105","279500","102","5","7.894736842105263"
"49374","13","1290.32258064516","120000","90","4","0"
"47041","5","1172.41379310345","115000","93","4","0"
"22134","12","2860.7419712070878","215000","93","4.5","8.333333333333334"
"88346","4","1201.0434782608695","88500","76.5","3.5","50"
"72320","9","2578.94736842105","343000","124","5","11.11111111111111"
"59476","23","1560.24096385542","155000","95","5","0"
"03080","3","1716","214500","125","5","0"
"49064","3","1333.33333333333","80000","123","5","0"
"35054","10","2605.670731707317","216950","85.5","4","0"
"32348","5","727.272727272727","24000","33","3","0"
"37118","8","1281.3150228880568","145000","109","5","0"
"94065","27","3977.94117647059","400000","83","5","51.851851851851855"
"76433","3","1925.92592592593","184900","95","3","0"
"35144","10","2246.4646464646466","217500","79","3.5","30"
"38263","3","2217.39130434783","255000","115","4","0"
"91634","8","3072.916666666667","316820","89.5","4","12.5"
"07110","27","1829.26829268293","130000","77","3","44.44444444444444"
"62040","55","1639.50617283951","147800","88","4","9.090909090909092"
"79077","4","1242.831215970962","112000","77","3.5","0"
"13096","56","4743.198412698413","214000","45.5","2","55.357142857142854"
"60073","5","1968.75","266000","90","4","0"
"43211","19","1680","167000","95","4","21.05263157894737"
"71545","3","1335.61643835616","195000","146","5","0"
"89480","14","1756.9444444444443","148000","84.5","4","0"
"87168","5","752.941176470588","64000","77","4","20"
"77091","3","3000","360000","120","5","0"
"50109","14","1814.7727272727273","121000","78","4","0"
"77284","284","2894.226142742582","155000","60","3","75.70422535211267"
"01418","5","3818.18181818182","301903.97","74","3","0"
"07177","4","1310.8108108108108","55000","69.5","2.5","0"
"56031","32","1977.3768613974798","175420","90.5","4","6.25"
"27548","7","2096.77419354839","164500","84","4","0"
"86026","7","1176.47058823529","100000","95","4","0"
"02173","92","1271.7560882800608","95950","71","4","14.130434782608695"
"72350","25","1835.82089552239","208000","99","5","0"
"69076","9","4545.45454545455","500000","120","5","22.22222222222222"
"50298","5","1978.02197802198","180000","91","4","0"
"29199","35","1692.30769230769","150000","96","4","0"
"45040","14","1346.4705882352941","128000","86.5","3.5","14.285714285714286"
"62569","4","1670.2233250620347","106000","68","3","0"
"10423","4","1582.2222222222222","181900","95","4.5","0"
"07281","56","2804.9050632911394","234900","93","4","26.785714285714285"
"80590","3","1826.08695652174","164000","71","4","0"
"03286","9","1125","90000","79","4","0"
"17337","92","3582.589285714286","198175","61.5","3","3.260869565217391"
"62763","6","980.7302231237322","112500","109","6.5","0"
"81140","112","2081.003694581281","170075","85.5","4","19.642857142857142"
"34060","4","3394.5652173913045","205000","62.5","3","0"
"72107","3","2134.14634146341","150000","64","4","0"
"60337","5","2975","320000","115","5","0"
"59282","5","1863.63636363636","205000","117","5","0"
"21636","5","795.918367346939","78000","82","3","0"
"22184","12","1296.8509984639018","117650","84","4","0"
"69063","24","5211.229946524065","519500","118.5","4","41.666666666666664"
"29284","34","2491.0714285714284","218150","86.5","4","2.9411764705882355"
"35284","21","3676.47058823529","323000","91","4","14.285714285714286"
"51403","6","1829.9457994579946","222500","127.5","5","0"
"35122","16","2926.8154525886484","273500","93.5","4","6.25"
