county_name,state_fips,county_fips,median_home_value_usd
"San Joaquin County, California",06,077,462000
"San Luis Obispo County, California",06,079,726700
"San Mateo County, California",06,081,1441300
"Santa Barbara County, California",06,083,714800
"Santa Clara County, California",06,085,1316800
"Santa Cruz County, California",06,087,951300
"Shasta County, California",06,089,327500
"Sierra County, California",06,091,289400
"Siskiyou County, California",06,093,260200
"Solano County, California",06,095,549100
"Sonoma County, California",06,097,748500
"Stanislaus County, California",06,099,393300
"Sutter County, California",06,101,375400
"Tehama County, California",06,103,290400
"Trinity County, California",06,105,326200
"Tulare County, California",06,107,280900
"Tuolumne County, California",06,109,377700
"Ventura County, California",06,111,719100
"Yolo County, California",06,113,555200
"Yuba County, California",06,115,350600
"Adams County, Colorado",08,001,425000
"Alamosa County, Colorado",08,003,198500
"Arapahoe County, Colorado",08,005,480500
"Archuleta County, Colorado",08,007,432400
"Baca County, Colorado",08,009,119700
"Bent County, Colorado",08,011,110700
"Boulder County, Colorado",08,013,671100
"Broomfield County, Colorado",08,014,581600
"Chaffee County, Colorado",08,015,514900
"Cheyenne County, Colorado",08,017,166300
"Clear Creek County, Colorado",08,019,506900
"Conejos County, Colorado",08,021,154500
"Costilla County, Colorado",08,023,145200
"Crowley County, Colorado",08,025,92700
"Custer County, Colorado",08,027,327100
"Delta County, Colorado",08,029,291400
"Denver County, Colorado",08,031,540400
"Dolores County, Colorado",08,033,208000
"Douglas County, Colorado",08,035,635100
"Eagle County, Colorado",08,037,728400
"Elbert County, Colorado",08,039,623300
"El Paso County, Colorado",08,041,390500
"Fremont County, Colorado",08,043,264300
"Garfield County, Colorado",08,045,449300
"Gilpin County, Colorado",08,047,465300
"Grand County, Colorado",08,049,461200
"Gunnison County, Colorado",08,051,530300
"Hinsdale County, Colorado",08,053,369200
"Huerfano County, Colorado",08,055,231200
"Jackson County, Colorado",08,057,227300
"Jefferson County, Colorado",08,059,556800
"Kiowa County, Colorado",08,061,127400
"Kit Carson County, Colorado",08,063,182700
"Lake County, Colorado",08,065,331000
"La Plata County, Colorado",08,067,497800
"Larimer County, Colorado",08,069,488300
"Las Animas County, Colorado",08,071,190900
"Lincoln County, Colorado",08,073,238000
"Logan County, Colorado",08,075,203100
"Mesa County, Colorado",08,077,312600
"Mineral County, Colorado",08,079,379000
"Moffat County, Colorado",08,081,247500
"Montezuma County, Colorado",08,083,282500
"Montrose County, Colorado",08,085,314100
"Morgan County, Colorado",08,087,277400
"Otero County, Colorado",08,089,132600
"Ouray County, Colorado",08,091,596400
"Park County, Colorado",08,093,458600
"Phillips County, Colorado",08,095,258200
"Pitkin County, Colorado",08,097,912300
"Prowers County, Colorado",08,099,120200
"Pueblo County, Colorado",08,101,238400
"Rio Blanco County, Colorado",08,103,231800
"Rio Grande County, Colorado",08,105,202300
"Routt County, Colorado",08,107,691800
"Saguache County, Colorado",08,109,166500
"San Juan County, Colorado",08,111,344600
"San Miguel County, Colorado",08,113,561400
"Sedgwick County, Colorado",08,115,136000
"Summit County, Colorado",08,117,760000
"Teller County, Colorado",08,119,405500
"Washington County, Colorado",08,121,208300
"Weld County, Colorado",08,123,412200
"Yuma County, Colorado",08,125,201500
"Capitol Planning Region, Connecticut",09,110,283800
"Greater Bridgeport Planning Region, Connecticut",09,120,372000
